neighbourhood,price,listing_count,distance_km,number_of_reviews,price_score,location_score,demand_score,investment_score
Morrisania,83.44444444444444,18,9.409444444444444,10.333333333333334,10.4,76.3,8.7,29.7
Mott Haven,88.91666666666667,60,6.5565,42.36666666666667,11.1,83.5,35.8,40.2
Mount Eden,58.5,6,10.270000000000001,70.0,7.3,74.1,59.1,42.9
Mount Hope,77.5,20,11.7205,21.75,9.7,70.5,18.4,30.6
Murray Hill,214.1122661122661,481,1.8943659043659042,9.32016632016632,26.8,95.2,7.9,41.6
Navy Yard,151.64285714285714,14,2.7278571428571428,17.928571428571427,19.0,93.1,15.1,40.1
Neponsit,274.6666666666667,3,25.099999999999998,15.333333333333334,34.3,36.8,12.9,28.6
New Brighton,101.8,5,14.187999999999999,40.2,12.7,64.3,33.9,34.5
New Dorp,57.0,1,24.0,0.0,7.1,39.6,0.0,14.7
New Dorp Beach,57.4,5,23.806,14.8,7.2,40.1,12.5,18.7
New Springville,76.0,8,25.2875,29.375,9.5,36.3,24.8,22.1
NoHo,276.24675324675326,77,3.0502597402597402,12.415584415584416,34.5,92.3,10.5,44.6
Nolita,196.14,250,2.36844,22.248,24.5,94.0,18.8,43.6
North Riverdale,79.9,10,19.816,18.2,10.0,50.1,15.4,23.7
Norwood,75.54838709677419,31,16.598387096774193,16.741935483870968,9.4,58.2,14.1,25.5
Oakwood,81.2,5,25.3,1.8,10.2,36.3,1.5,15.4
Olinville,64.0,4,18.5975,7.5,8.0,53.2,6.3,21.0
Ozone Park,85.2741935483871,62,17.058709677419355,24.387096774193548,10.7,57.1,20.6,27.6
Park Slope,171.46138613861388,505,5.118950495049505,28.986138613861385,21.4,87.1,24.5,42.0
Parkchester,69.07692307692308,39,13.713589743589745,23.358974358974358,8.6,65.5,19.7,29.0
Pelham Bay,105.0,17,17.776470588235295,26.0,13.1,55.3,21.9,28.4
Pelham Gardens,93.60714285714286,28,18.072499999999998,40.714285714285715,11.7,54.5,34.4,31.3
Port Morris,79.8913043478261,46,5.614130434782608,20.608695652173914,10.0,85.9,17.4,35.0
Port Richmond,90.11111111111111,9,18.628888888888888,17.0,11.3,53.1,14.3,24.7
Prince's Bay,129.33333333333334,3,35.06333333333333,7.666666666666667,16.2,11.7,6.5,11.9
Prospect Heights,144.50852272727272,352,5.292130681818182,30.880681818181817,18.1,86.7,26.1,41.1
Prospect-Lefferts Gardens,101.72932330827068,532,8.314342105263156,26.407894736842106,12.7,79.1,22.3,35.5
Queens Village,83.93333333333334,60,26.71833333333333,35.78333333333333,10.5,32.7,30.2,23.1
Randall Manor,76.88888888888889,18,17.71388888888889,19.0,9.6,55.4,16.0,25.3
Red Hook,143.45569620253164,79,4.493924050632911,28.645569620253166,17.9,88.7,24.2,41.0
Rego Park,83.87735849056604,106,14.19688679245283,25.9811320754717,10.5,64.3,21.9,30.1
Richmond Hill,87.11702127659575,94,18.68255319148936,34.361702127659576,10.9,53.0,29.0,29.0
Richmondtown,78.0,1,24.38,79.0,9.8,38.6,66.7,35.5
Ridgewood,77.18439716312056,423,10.150189125295508,18.38770685579196,9.6,74.5,15.5,30.8
Riverdale,236.3,10,16.5,29.3,29.5,58.5,24.7,36.8
Rockaway Beach,132.17857142857142,56,26.81,24.25,16.5,32.5,20.5,22.5
Roosevelt Island,96.32894736842105,76,3.4527631578947373,15.56578947368421,12.0,91.3,13.1,36.1
Rosebank,111.85714285714286,7,16.065714285714286,30.714285714285715,14.0,59.6,25.9,31.2
Rosedale,76.69491525423729,59,30.030677966101695,28.35593220338983,9.6,24.4,23.9,18.3
Rossville,75.0,1,33.2,21.0,9.4,16.4,17.7,14.0
Schuylerville,69.23076923076923,13,16.63076923076923,32.53846153846154,8.7,58.1,27.5,29.2
Sea Gate,123.0,5,19.012,0.8,15.4,52.1,0.7,22.0
Sheepshead Bay,94.15337423312883,163,16.87680981595092,20.006134969325153,11.8,57.5,16.9,27.0
Shore Acres,152.71428571428572,7,16.25714285714286,20.857142857142858,19.1,59.1,17.6,30.6
Silver Lake,70.0,2,16.44,118.5,8.8,58.6,100.0,51.1
SoHo,250.05747126436782,348,2.73816091954023,20.522988505747126,31.3,93.1,17.3,45.6
Soundview,53.46666666666667,15,12.456666666666667,29.4,6.7,68.6,24.8,30.7
South Beach,89.25,8,19.64,11.875,11.2,50.6,10.0,22.7
South Ozone Park,82.4,40,22.023,48.675,10.3,44.6,41.1,29.8
South Slope,146.72535211267606,284,6.187570422535211,36.63732394366197,18.3,84.4,30.9,41.9
Springfield Gardens,94.23529411764706,85,26.736941176470587,69.09411764705882,11.8,32.7,58.3,32.0
Spuyten Duyvil,154.75,4,15.4275,17.5,19.3,61.2,14.8,30.5
St. Albans,100.82894736842105,76,25.900394736842106,34.0,12.6,34.8,28.7,24.1
St. George,99.38297872340425,47,13.219361702127658,42.276595744680854,12.4,66.7,35.7,35.7
Stapleton,98.96296296296296,27,14.096666666666668,38.370370370370374,12.4,64.5,32.4,34.0
Stuyvesant Town,132.13888888888889,36,3.7816666666666663,8.38888888888889,16.5,90.5,7.1,35.9
Sunnyside,84.86501377410468,363,7.517961432506887,22.231404958677686,10.6,81.1,18.8,34.2
Sunset Park,103.31443298969072,388,7.953505154639175,20.242268041237114,12.9,80.0,17.1,34.3
Theater District,228.88771929824563,285,0.436140350877193,14.842105263157896,28.6,98.9,12.5,44.9
Throgs Neck,91.04166666666667,24,17.130416666666665,32.041666666666664,11.4,56.9,27.0,29.7
Todt Hill,169.0,4,19.689999999999998,4.0,21.1,50.4,3.4,24.6
Tompkinsville,76.19047619047619,42,14.639285714285714,57.142857142857146,9.5,63.2,48.2,37.2
Tottenville,144.85714285714286,7,39.72714285714285,19.857142857142858,18.1,0.0,16.8,12.3
Tremont,51.54545454545455,11,12.175454545454546,20.636363636363637,6.4,69.4,17.4,28.6
Tribeca,309.46875,160,2.0811875,12.35625,38.7,94.8,10.4,47.0
Two Bridges,127.06944444444444,72,0.8633333333333333,29.569444444444443,15.9,97.8,25.0,43.2
Unionport,137.14285714285714,7,14.234285714285715,14.857142857142858,17.1,64.2,12.5,29.8
University Heights,69.57142857142857,21,12.656666666666668,37.095238095238095,8.7,68.1,31.3,33.3
Upper East Side,170.84175084175084,1782,2.0941358024691357,17.712682379349047,21.4,94.7,14.9,41.4
Upper West Side,175.0309119010819,1941,1.92435857805255,18.439979392065947,21.9,95.2,15.6,42.0
Van Nest,113.81818181818181,11,14.088181818181818,18.727272727272727,14.2,64.5,15.8,29.8
