neighbourhood_cleansed,price,listing_count,distance_km,number_of_reviews,price_score,location_score,demand_score,investment_score
Marble Hill,115.4,5,15.075999999999999,62.8,11.1,62.2,31.4,32.5
Mariners Harbor,95.34782608695652,23,21.164347826086956,27.47826086956522,9.2,46.9,13.7,21.9
Maspeth,120.67796610169492,59,9.957796610169492,45.355932203389834,11.6,75.0,22.7,34.0
Melrose,105.5625,16,7.873125,54.4375,10.1,80.3,27.2,36.3
Middle Village,181.16666666666666,18,12.914444444444445,44.77777777777778,17.4,67.6,22.4,34.0
Midland Beach,125.44444444444444,9,22.087777777777777,44.77777777777778,12.0,44.6,22.4,24.9
Midtown,444.5705426356589,1290,1.0923643410852715,24.86124031007752,42.7,97.3,12.4,50.0
Midwood,147.16129032258064,31,13.35774193548387,50.516129032258064,14.1,66.5,25.3,33.2
Mill Basin,184.36363636363637,11,16.44090909090909,23.818181818181817,17.7,58.8,11.9,28.3
Morningside Heights,130.30769230769232,52,3.6148076923076924,23.346153846153847,12.5,90.9,11.7,35.8
Morris Heights,87.61538461538461,13,11.24923076923077,20.0,8.4,71.8,10.0,27.9
Morris Park,80.66666666666667,30,15.827,29.5,7.7,60.3,14.8,25.6
Morrisania,112.9090909090909,11,10.000909090909092,14.818181818181818,10.8,74.9,7.4,29.0
Mott Haven,132.3421052631579,38,6.497368421052632,24.105263157894736,12.7,83.7,12.1,33.8
Mount Eden,112.0,4,10.295,68.25,10.8,74.2,34.1,36.8
Mount Hope,84.8,25,11.553199999999999,30.2,8.1,71.0,15.1,29.1
Murray Hill,344.4299674267101,307,0.9852117263843647,13.964169381107492,33.1,97.5,7.0,44.6
Navy Yard,486.5,4,2.4675000000000002,2.5,46.7,93.8,1.2,47.2
Neponsit,272.0,2,25.155,14.5,26.1,36.9,7.2,23.7
New Brighton,222.1,10,14.214000000000002,84.0,21.3,64.4,42.0,40.4
New Dorp Beach,82.66666666666667,3,23.503333333333334,170.0,7.9,41.1,85.0,41.0
New Springville,277.0,1,24.98,29.0,26.6,37.4,14.5,26.2
NoHo,541.4545454545455,22,3.022727272727273,39.90909090909091,52.0,92.4,20.0,54.5
Nolita,392.908256880734,109,2.3573394495412843,21.137614678899084,37.7,94.1,10.6,46.5
North Riverdale,111.125,8,19.5925,8.375,10.7,50.9,4.2,20.8
Norwood,95.03703703703704,27,16.696666666666665,17.703703703703702,9.1,58.1,8.9,23.7
Oakwood,175.0,1,24.76,0.0,16.8,37.9,0.0,18.1
Olinville,113.5,2,18.28,3.5,10.9,54.2,1.8,21.2
Ozone Park,153.64285714285714,70,16.844142857142856,28.214285714285715,14.8,57.8,14.1,27.5
Park Slope,259.8198757763975,161,5.107639751552795,77.6832298136646,24.9,87.2,38.8,47.8
Parkchester,117.85714285714286,14,13.690714285714284,10.214285714285714,11.3,65.7,5.1,25.8
Pelham Bay,242.375,8,17.7625,26.0,23.3,55.5,13.0,29.9
Pelham Gardens,113.53846153846153,26,18.096153846153847,62.07692307692308,10.9,54.6,31.0,30.0
Port Morris,150.71428571428572,35,5.540571428571428,23.2,14.5,86.1,11.6,35.1
Port Richmond,89.33333333333333,12,18.910833333333333,11.583333333333334,8.6,52.6,5.8,21.0
Prince's Bay,135.83333333333334,6,35.58166666666667,8.0,13.0,10.8,4.0,9.6
Prospect Heights,356.5820895522388,67,5.3143283582089555,85.25373134328358,34.2,86.7,42.6,52.5
Prospect-Lefferts Gardens,141.29326923076923,208,8.495528846153846,44.36057692307692,13.6,78.7,22.2,35.7
Queens Village,165.15,60,27.114166666666666,48.85,15.9,32.0,24.4,23.3
Randall Manor,171.23529411764707,17,16.378823529411765,33.294117647058826,16.4,58.9,16.6,29.2
Red Hook,193.95238095238096,21,4.580952380952381,61.80952380952381,18.6,88.5,30.9,43.3
Rego Park,119.62857142857143,35,14.160571428571428,46.42857142857143,11.5,64.5,23.2,30.9
Richmond Hill,114.51315789473684,76,18.481973684210526,36.25,11.0,53.7,18.1,25.9
Ridgewood,125.17840375586854,213,10.31037558685446,22.525821596244132,12.0,74.2,11.3,30.4
Riverdale,1041.5,2,17.03,18.5,100.0,57.3,9.2,60.0
Rockaway Beach,158.1086956521739,46,26.79108695652174,46.630434782608695,15.2,32.8,23.3,22.9
Roosevelt Island,262.9259259259259,27,3.391481481481481,41.81481481481482,25.2,91.5,20.9,43.8
Rosebank,86.42857142857143,7,15.734285714285715,41.857142857142854,8.3,60.6,20.9,27.8
Rosedale,186.69411764705882,85,29.89035294117647,43.10588235294118,17.9,25.1,21.6,21.2
Rossville,137.66666666666666,3,32.016666666666666,1.3333333333333333,13.2,19.7,0.7,11.4
Schuylerville,116.14285714285714,7,17.122857142857143,13.285714285714286,11.2,57.1,6.6,23.6
Sea Gate,253.7058823529412,17,18.948235294117648,28.470588235294116,24.4,52.5,14.2,29.8
Sheepshead Bay,153.37333333333333,75,17.217866666666666,53.42666666666667,14.7,56.8,26.7,30.9
Shore Acres,98.57142857142857,7,16.47,27.0,9.5,58.7,13.5,25.5
Silver Lake,149.4,5,17.286,84.4,14.3,56.7,42.2,35.4
SoHo,508.1653543307087,127,2.6381889763779527,39.346456692913385,48.8,93.4,19.7,53.4
Soundview,119.66666666666667,15,12.224666666666668,17.333333333333332,11.5,69.4,8.7,28.0
South Beach,107.2,10,19.993000000000002,26.4,10.3,49.9,13.2,23.0
South Ozone Park,167.89285714285714,56,21.835892857142856,71.44642857142857,16.1,45.3,35.7,30.7
South Slope,184.38666666666666,75,6.215066666666667,57.76,17.7,84.4,28.9,41.1
Springfield Gardens,163.20192307692307,104,26.981346153846154,42.00961538461539,15.7,32.4,21.0,22.3
Spuyten Duyvil,196.75,4,15.5125,40.5,18.9,61.1,20.2,31.9
